"Macrorregi�o de Sa�de","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"5007 CORUMBA",12511,12560,12596,12686,12741,12789,12886,12948,13010,13020,13000,12681,12335,12009,11761,11569,11322,11048,10787,10563,10319
"5008 CAMPO GRANDE",117831,118549,119545,120634,121652,122394,122181,121786,121087,120015,118487,116562,114002,111914,110481,109536,109457,109124,108925,109061,109005
"5101 MACRORREGIAO SUL",38550,38828,39092,39389,39698,40044,40223,40400,40500,40572,40461,40002,39442,38946,38738,38899,39470,39859,40095,40311,40104
"5102 MACRORREGIAO OESTE",31471,30954,30449,29929,29410,28894,28803,28747,28659,28522,28298,27817,27189,26622,26205,26069,25937,25665,25294,24901,24271
"5103 MACRORREGIAO NORTE",54817,56137,57441,58767,60140,61536,62043,62575,63118,63448,63600,62665,61459,60441,59788,59774,60184,60286,60199,60058,59298
"5104 MACRORREGIAO LESTE",27782,27827,27873,27914,27961,28029,28373,28713,29068,29318,29489,29167,28731,28339,28139,28228,28116,27847,27489,27103,26448
"5105 MACRORREGIAO CENTRO-NORTE",126994,126465,125948,125449,124975,124519,124504,124566,124535,124209,123442,121716,119480,117487,116276,116243,117456,118070,118278,118377,117282
"5206 MACRORREGIAO SUDOESTE",48099,48195,48207,48228,48336,48644,48675,48819,48947,48897,48540,48563,48561,48531,48472,48518,48923,49082,49302,49716,50264
"5207 MACRORREGIAO NORDESTE",96802,98741,100556,102378,104429,106903,108935,111228,113574,115479,116680,115906,115107,114202,113232,112538,111054,109029,107142,105707,104546
"5208 MACRORREGIAO CENTRO-OESTE",175203,173978,172522,171085,170080,169762,169146,168991,168815,167990,166148,164272,162306,160259,158091,156296,156738,156409,156273,156778,157691
"5209 MACRORREGIAO CENTRO-NORTE",98689,96720,94578,92432,90570,89068,90195,91578,92998,94047,94494,92064,89583,87058,84424,81973,80781,79202,77711,76551,75600
"5210 MACRORREGIAO CENTRO SUDESTE",103254,103964,104464,104961,105747,106914,107982,109310,110635,111531,111716,110875,109947,108940,107900,107099,107132,106663,106324,106379,106740
"5302 MACRORREGI�O DE BRAS�LIA",194890,193388,192663,193131,195307,199500,204725,210095,215172,219210,221722,224654,226142,226686,226540,226411,224729,221979,218051,213337,207189
"5303 MACRORREGI�O DE SA�DE I",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5304 MACRORREGI�O DE SA�DE II",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5305 MACRORREGI�O DE SA�DE III",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Total",17772711,17574670,17390685,17241792,17158485,17156789,17215141,17324034,17435603,17473715,17393076,17212653,16876067,16491314,16128075,15837012,15573438,15361509,15178329,15005998,14801822
 Fonte:,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
 2000 a 2021 � Estimativas preliminares elaboradas pelo Minist�rio da Sa�de/SVS/DASNT/CGIAE,,,,,,,,,,,,,,,,,,,,,
